quote,author,source
"Вучыся, нябожа, вучэнне паможа
Змагацца з нядоляй, няволяй",Янка Купала,nlb.by
Нараканнем не зможаш бяды,Янка Купала,nlb.by
"На словах – магутны слон, 
А на дзеле – моль…",Янка Купала,nlb.by
"Эх! Іграй жа той, хто можа: 
Плакаць будзе весялей",Янка Купала,nlb.by
"Дружнасць – першы крок свабоды, 
Згода – сіла грамады",Якуб Колас,nlb.by
"Эх, час касьбы, вясёлы час!
І я ім цешыўся не раз",Якуб Колас,nlb.by
"Раздолле ў лузе, эх, раздолле!",Якуб Колас,nlb.by
"Ад зямлі да зор і сонца
Няма думкам забаронцы",Якуб Колас,nlb.by
"Дык не гаруй жа, брат-нябога:
Дзянькоў вясёлых яшчэ многа!..",Якуб Колас,nlb.by
"Сабраць з дарог каменні тыя,
Што губяць сілы маладыя",Якуб Колас,nlb.by
"Гаршчок агорнуты пашанай,
Хоць ён фаміліі глінянай",Якуб Колас,nlb.by
Асадзі назад!,Якуб Колас,nlb.by
"Забілі зайца, не забілі,
Але ж брат, гуку нарабілі",Якуб Колас,nlb.by
"Адны трымаюць нос высока
Другія ў дол спускаюць вока",Якуб Колас,nlb.by
Купіць зямлю – купіць не лыка,Якуб Колас,nlb.by
"І дзе на свеце ёсць такая,
Як Нёман, рэчачка другая?",Якуб Колас,nlb.by
"О край мой мілы!.. Усёй душою
Хачу злучыцца я з табою",Якуб Колас,nlb.by
"Добра быць у дарозе, якую ты сам сабе выбіраеш",Якуб Колас,nlb.by
"Увесь век варушымся, збіраем
Канца ж патрэбам тым не знаем",Якуб Колас,nlb.by
"А там, за светам, на чужыне
Ніхто цябе, ой, не прыхіне!",Якуб Колас,nlb.by
"Зірнеш і страчваешся ты:
Сядзяць грыбы, як капыты",Якуб Колас,nlb.by
"Дзве патрэбы трэба мець, каханы!
Адна рэч – розум выхаваны.
Другая рэч, Антось харошы,
Таксама трэба мець і грошы",Якуб Колас,nlb.by
"…Жывую сілу
Не запраторыш ты ў магілу",Якуб Колас,nlb.by
У воду войдзеш – шчасце раю…,Якуб Колас,nlb.by
Абшарыць кішэні свае памяці,Якуб Колас,nlb.by
"Эх, слаўна ў лесе, слаўна, братцы!",Якуб Колас,nlb.by
"І спрэчку тым яны канчалі,
Што гэту скварку разразалі

Назад не прыйдзе хваля тая,
Што з быстрай рэчкай уплывае",Якуб Колас,nlb.by
"Ці ж мы хлопцы рук не маем?
Ці ж нам сілы бог не даў?",Якуб Колас,nlb.by
"Мой родны кут, як ты мне мілы!..",Якуб Колас,nlb.by
Я печ на рай не памяняю!,Якуб Колас,nlb.by
"Які ты, хлопча, нецярпячка,
Няхай цябе затопча качка",Якуб Колас,nlb.by
Гора не сціхне ад слоў!,Якуб Колас,nlb.by
"Эх, гэта толькі мары-кралі!
О, каб яны ды праўдай сталі!",Якуб Колас,nlb.by
"Сама пакажа справа,
Ці варта шуму ўся аблава",Якуб Колас,nlb.by
Каса не косіць – каса брые,Якуб Колас,nlb.by
Я ўрос у зямлю,Якуб Колас,nlb.by
Такі пісака – не расчытае і сабака,Якуб Колас,nlb.by
Дзе ўсё прыводзіцца к карыту…,Якуб Колас,nlb.by
"Эх, досвітак маленства, лета!
Вамі навек душа сагрэта!",Якуб Колас,nlb.by
"Думка ходзіць, дзе захоча",Якуб Колас,nlb.by
"Няхай надзея
Гарыць у сэрцы і мацнее",Якуб Колас,nlb.by
А парогі – прэч з дарогі!,Якуб Колас,nlb.by
"Бо людзі схільны строіць кпіны
З тваіх нягод без дай прычыны",Якуб Колас,nlb.by
"Варона гонар свой збаўляе
Ды зноў да сметніка вітае

Глядзеце, якая цаца ззяе ў смецці!",Якуб Колас,nlb.by
"Без атак і абароны
Няма сапраўднае вайны",Якуб Колас,nlb.by
"Які ён гога! Які дока!
Як ён сябе нясе высока!",Якуб Колас,nlb.by
"Чалавеку заўсёды мала, не хватае:
Ці ёсць канец яго патрэбам?",Якуб Колас,nlb.by
А ў кандыдатах ніколі нястачы не бывае на свеце,Якуб Колас,nlb.by
Толькі ліха сну не мае,Якуб Колас,nlb.by
"Як паглядзіш–божа мілы!
Што з людзямі робіць чын!",Якуб Колас,nlb.by
Песень дар – агонь душы і сэрца жар,Якуб Колас,nlb.by
